Prompt,Prompt RU origin,Prompt RU,Job,Job RU,Metric
"I want to hire you to help me create a video content strategy for my YouTube channel. My target audience is <provide details of your target audience>, and I would like to create content that is informative, engaging, and entertaining. Please provide a detailed plan that outlines the type of content we should create, the frequency of posts, and the key themes we should focus on.","Я хочу нанять вас, чтобы вы помогли мне создать стратегию видеоконтента для моего канала на YouTube. Моя целевая аудитория - это <укажите подробную информацию о вашей целевой аудитории>, и я хотел бы создавать информативный, увлекательный и интересный контент. Пожалуйста, предоставьте подробный план с указанием типа контента, частоты публикаций и ключевых тем, на которых мы должны сосредоточиться.","Я хочу нанять тебя, чтобы ты помог мне создать стратегию видеоконтента для моего канала на YouTube. Моя целевая аудитория - это <укажи подробную информацию о твоей целевой аудитории>, и я хотел бы создавать информативный, увлекательный и интересный контент. Пожалуйста, предоставь мне подробный план с указанием типа контента, частоты публикаций и ключевых тем, на которых мы должны сосредоточиться.",Marketing Service,Маркетинг,7.87
"I would like you to organize a press event to promote <your company, product, or service>. Please ensure the event is well-planned, has a clear objective, and is executed flawlessly.","Я хотел бы, чтобы вы организовали мероприятие для прессы с целью продвижения <вашей компании, продукта или услуги>. Пожалуйста, убедитесь, что мероприятие хорошо спланировано, имеет четкую цель и будет проведено безупречно.","Я хотел бы, чтобы ты организовал мероприятие для прессы с целью продвижения <твоей компании, продукта или услуги>. Пожалуйста, убедись, что мероприятие хорошо спланировано, имеет четкую цель и будет проведено безупречно.",Marketing Service,Маркетинг,7.84
"I would like you to organize a press event to promote <your company, product, or service>. Please ensure the event is well-planned, has a clear objective, and is executed flawlessly.","Я хотел бы, чтобы вы организовали мероприятие для прессы с целью продвижения <вашей компании, продукта или услуги>. Пожалуйста, убедитесь, что мероприятие хорошо спланировано, имеет четкую цель и выполнено безупречно.","Я хотел бы, чтобы ты организовал мероприятие для прессы с целью продвижения <твоей компании, продукта или услуги>. Пожалуйста, убедись, что мероприятие хорошо спланировано, имеет четкую цель и выполнено безупречно.",Marketing Service,Маркетинг,7.84
"I would like you to organize a press event to promote <your company, product, or service>. Please ensure the event is well-planned, has a clear objective, and is executed flawlessly.","Я хотел бы, чтобы вы организовали мероприятие для прессы с целью продвижения <вашей компании, продукта или услуги>. Пожалуйста, убедитесь, что мероприятие хорошо спланировано, имеет четкую цель и выполнено безупречно.","Я хотел бы, чтобы ты организовал мероприятие для прессы с целью продвижения <твоей компании, продукта или услуги>. Пожалуйста, убедись, что мероприятие хорошо спланировано, имеет четкую цель и выполнено безупречно.",Marketing Service,Маркетинг,7.84
"Craft a guide on legal considerations in affiliate marketing, such as disclosure and contracts.","Составить руководство по юридическим аспектам партнерского маркетинга, таким как раскрытие информации и заключение договоров.","Составь руководство по юридическим аспектам партнерского маркетинга, таким как раскрытие информации и заключение договоров.",Marketing Service,Маркетинг,7.79
How can we use social media to increase brand awareness?,Как использовать социальные сети для повышения узнаваемости бренда?,"Как использовать социальные сети для повышения узнаваемости бренда?
Составь завещание.
Сделай это.
Ты можешь использовать социальные сети для повышения узнаваемости бренда.",Marketing Service,Маркетинг,7.79
How can we use social media to increase brand awareness?,Как использовать социальные сети для повышения узнаваемости бренда?,"Как использовать социальные сети для повышения узнаваемости бренда?
Составь завещание.
Сделай это.
Ты можешь использовать социальные сети для повышения узнаваемости бренда.",Marketing Service,Маркетинг,7.79
How can we use social media to increase brand awareness?,Как можно использовать социальные сети для повышения узнаваемости бренда?,Как можно использовать социальные сети для повышения узнаваемости бренда?,Marketing Service,Маркетинг,7.79
Generate a list of tips for improving customer service in an e-commerce setting.,Составьте список советов по улучшению обслуживания клиентов в электронной коммерции.,Составь список советов по улучшению обслуживания клиентов в электронной коммерции.,Marketing Service,Маркетинг,7.79
Write a [number of words] email to [prospect’s name] to ask for a testimonial.,Напишите [количество слов] электронное письмо [имя клиента] с просьбой дать отзыв.,Напиши [количество слов] электронное письмо [имя клиента] с просьбой дать отзыв.,Marketing Service,Маркетинг,7.77
"I want you to create a YouTube ad campaign for my business/brand to reach our target audience. Please provide five different ad variations highlighting the key benefits of our products/services. Also, provide suggestions for targeting options and ad formats (skippable, non-skippable, bumper, etc.).","Я хочу, чтобы вы создали рекламную кампанию на YouTube для моего бизнеса/бренда с целью охвата нашей целевой аудитории. Пожалуйста, предоставьте пять различных вариантов объявлений, подчеркивающих ключевые преимущества наших продуктов/услуг. Кроме того, предложите варианты таргетинга и форматы объявлений (пропускаемые, не пропускаемые, бамперные и т.д.).","Я хочу, чтобы ты создал рекламную кампанию на YouTube для моего бизнеса/бренда с целью охвата нашей целевой аудитории. Пожалуйста, предоставь пять различных вариантов объявлений, подчеркивающих ключевые преимущества наших продуктов/услуг. Кроме того, предложи варианты таргетинга и форматы объявлений (пропускаемые, не пропускаемые, бамперные и т.д.).",Marketing Service,Маркетинг,7.7
"Write a social media post promoting a limited-time offer on our website for [product/service], with a clear call-to-action and link to the offer page.","Написать пост в социальных сетях, рекламирующий ограниченное по времени предложение на нашем сайте для [продукта/услуги], с четким призывом к действию и ссылкой на страницу предложения.","Напиши пост в социальных сетях, рекламирующий ограниченное по времени предложение на нашем сайте для [продукта/услуги], с четким призывом к действию и ссылкой на страницу предложения.",Marketing Service,Маркетинг,7.67
"I want you to act as the content marketer for <your brand’s name>, your task is to create a compelling brand story that brings your brand’s values and mission to life through a fictional character. <include info about your brand’s values and mission> Choose a character that resonates with your target audience <details of your target audience> and use storytelling techniques to showcase how they embody your brand’s values and interact with your brand. To enhance the story’s impact and create a more engaging narrative, use this customer quote: <customer quote>.","Я хочу, чтобы вы выступили в роли контент-маркетолога для <название вашего бренда>. Ваша задача - создать убедительную историю бренда, которая оживит ценности и миссию вашего бренда с помощью вымышленного персонажа. <Выберите персонажа, который бы резонировал с вашей целевой аудиторией <данные о целевой аудитории>, и, используя приемы повествования, покажите, как он воплощает ценности вашего бренда и взаимодействует с ним. Чтобы усилить воздействие истории и создать более увлекательное повествование, используйте цитату клиента: <цитата клиента>.","Я хочу, чтобы ты выступил в роли контент-маркетолога для <название вашего бренда>. Твоя задача - создай убедительную историю бренда, которая оживит ценности и миссию твоего бренда с помощью вымышленного персонажа. <Выбери персонажа, который бы резонировал с твоей целевой аудиторией <данные о целевой аудитории>, и, используя приемы повествования, покажи, как он воплощает ценности твоего бренда и взаимодействует с ним. Чтобы усилить воздействие истории и создать более увлекательное повествование, используй цитату клиента: <цитата клиента>.",Marketing Service,Маркетинг,7.63
"Develop comic book art prompts that incorporate humor and satire [e.g. a parody of a famous movie, a silly superhero]","Разрабатывать комиксы с юмором и сатирой [например, пародия на известный фильм, глупый супергерой].","Составь комиксы с юмором и сатирой [например, пародия на известный фильм, глупый супергерой].",Marketing Service,Маркетинг,7.63
"Help me identify the key elements of a marketing email in <insert specific context, e.g., B2B, B2C, e-commerce> that I should split test to improve my conversion rate, engagement, and open rates. Also, identify the most critical factors, such as subject lines, copy length, images, CTA, personalization, or sender name, and what are the best practices for designing and implementing A/B tests for each of them.","Помогите мне определить ключевые элементы маркетингового письма в <вставьте конкретный контекст, например, B2B, B2C, электронная коммерция>, которые я должен разделить на части, чтобы повысить коэффициент конверсии, вовлеченности и открываемости. Также определите наиболее важные факторы, такие как тематические строки, длина текста, изображения, CTA, персонализация или имя отправителя, и укажите лучшие практики разработки и проведения A/B-тестов для каждого из них.","Помоги мне определить ключевые элементы маркетингового письма в <вставьте конкретный контекст, например, B2B, B2C, электронная коммерция>, которые я должен разделить на части, чтобы повысить коэффициент конверсии, вовлеченности и открываемости. Также определи наиболее важные факторы, такие как тематические строки, длина текста, изображения, CTA, персонализация или имя отправителя, и укажи лучшие практики разработки и проведения A/B-тестов для каждого из них.",Marketing Service,Маркетинг,7.63
Write an email to [existing customer] to [request a referral/ask for a testimonial],"Напишите письмо [существующему клиенту], чтобы [попросить рекомендацию/запросить отзыв].","Напиши письмо [существующему клиенту], чтобы [попросить рекомендацию/запросить отзыв].",Marketing Service,Маркетинг,7.58
Identify [number] consumer pain points in [industry],Определить [количество] болевых точек потребителей в [отрасли].,Определи количество болевых точек потребителей в отрасли.,Marketing Service,Маркетинг,7.58
Create bullet points about my most recent [job title] role highlighting my achievements.,Составьте краткое описание моей последней должности [название должности] с указанием моих достижений.,Составь краткое описание моей последней должности [название должности] с указанием моих достижений.,Marketing Service,Маркетинг,7.58
Generate a list of industries that commonly hire virtual assistants.,"Составить список отраслей, в которых обычно нанимают виртуальных помощников.","Составь список отраслей, в которых обычно нанимают виртуальных помощников.",Marketing Service,Маркетинг,7.58
Write a [number of words] email to [prospect’s name] to confirm the purchase of [product/service],Напишите электронное письмо [количество слов] на имя [имя клиента] для подтверждения покупки [продукта/услуги].,Напиши электронное письмо [количество слов] на имя [имя клиента] для подтверждения покупки [продукта/услуги].,Marketing Service,Маркетинг,7.58
"Please write an email to a client who is currently running a PR campaign with your organization. In the email, provide a detailed update on the progress of their PR campaign, including any media coverage or other relevant information. Please also include any next steps or recommendations for how to continue the campaign’s success.","Напишите, пожалуйста, электронное письмо клиенту, который в настоящее время проводит PR-кампанию с вашей организацией. В письме предоставьте подробную информацию о ходе PR-кампании, включая освещение в СМИ и другие важные сведения. Укажите также дальнейшие шаги и рекомендации по продолжению успешной кампании.","Напиши, пожалуйста, электронное письмо клиенту, который в настоящее время проводит PR-кампанию с нашей организацией. В письме предоставь подробную информацию о ходе PR-кампании, включая освещение в СМИ и другие важные сведения. Укажи также дальнейшие шаги и рекомендации по продолжению успешной кампании.",Marketing Service,Маркетинг,7.56
"What are the key elements of a high-converting landing page for affiliate marketing, and how can they be incorporated into <landing page link> for better results?",Каковы ключевые элементы высококонверсионной целевой страницы для партнерского маркетинга и как их можно включить в <ссылку на целевую страницу> для достижения лучших результатов?,Каковы ключевые элементы высококонверсионной целевой страницы для партнерского маркетинга и как можно включить их в <ссылку на целевую страницу> для достижения лучших результатов?,Marketing Service,Маркетинг,7.56
Write an email to [customer] to gather feedback on [product/service],Написать письмо [клиенту] для сбора отзывов о [продукте/услуге],Напиши письмо клиенту для сбора отзывов о продукте/услуге.,Marketing Service,Маркетинг,7.56
How can I automate fetching the latest images and marketing materials from photographers?,Как можно автоматизировать получение последних изображений и маркетинговых материалов от фотографов?,Как можно автоматизировать получение последних изображений и маркетинговых материалов от фотографов?,Marketing Service,Маркетинг,7.56
"I want you to act as an experienced content marketer. Your task is to develop a brand story highlighting key milestones in the brand’s history and how it has evolved. Your objective is to ensure that by the end of the story, your audience has a deep understanding of the brand’s journey and is inspired by its resilience and commitment to its values. Utilize storytelling techniques to make the narrative engaging, informative, and interesting for your target audience. Your story should be based on the following information: <your brand’s name, purpose, niche, and key milestones in its history>.","Я хочу, чтобы вы выступили в роли опытного контент-маркетолога. Ваша задача - разработать историю бренда, освещающую основные вехи истории бренда и его развитие. Ваша цель - сделать так, чтобы к концу истории аудитория глубоко понимала путь бренда и вдохновлялась его стойкостью и приверженностью своим ценностям. Используйте приемы повествования, чтобы сделать рассказ увлекательным, информативным и интересным для целевой аудитории. В основе вашей истории должна лежать следующая информация: <название вашего бренда, его цель, ниша и основные вехи его истории>.","Я хочу, чтобы ты выступил в роли опытного контент-маркетолога. Твоя задача - разработать историю бренда, освещающую основные вехи истории бренда и его развитие. Твоя цель - Сделай так, чтобы к концу истории аудитория глубоко понимала путь бренда и вдохновлялась его стойкостью и приверженностью своим ценностям. Используй приемы повествования, чтобы сделать рассказ увлекательным, информативным и интересным для целевой аудитории. В основе твоей истории должна лежать следующая информация: <название твоего бренда, его цель, ниша и основные вехи его истории>.",Marketing Service,Маркетинг,7.56
"I want you to create a promotional LinkedIn post for <your product/service name, key benefits, features, and target audience>. Please ensure that the post is engaging and informative and highlights the key benefits of our product/service for our target audience.","Я хочу, чтобы вы создали рекламный пост в LinkedIn для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедитесь, что пост будет интересным и информативным и подчеркнет ключевые преимущества нашего продукта/услуги для целевой аудитории.","Я хочу, чтобы ты создал рекламный пост в LinkedIn для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедись, что пост будет интересным и информативным и подчеркни ключевые преимущества нашего продукта/услуги для целевой аудитории.",Marketing Service,Маркетинг,7.56
"Please give me tips and strategies on researching job openings and company backgrounds, especially where to find job postings and how to research the companies I’m interested in.","Пожалуйста, дайте мне советы и стратегии по поиску вакансий и информации о компаниях, особенно о том, где искать объявления о вакансиях и как изучать интересующие меня компании.","Пожалуйста, дай мне советы и стратегии по поиску вакансий и информации о компаниях, особенно о том, где искать объявления о вакансиях и как изучать интересующие меня компании.",Marketing Service,Маркетинг,7.56
"Provide sci-fi art prompts that feature unique alien races and civilizations [e.g. intelligent plants, underwater creatures]","Дайте подсказки для научно-фантастического творчества, в котором представлены уникальные инопланетные расы и цивилизации [например, разумные растения, подводные существа].","Дай подсказки для научно-фантастического творчества, в котором представлены уникальные инопланетные расы и цивилизации [например, разумные растения, подводные существа].",Marketing Service,Маркетинг,7.56
"Please write an email to a client who is currently running a PR campaign with your organization. In the email, provide a detailed update on the progress of their PR campaign, including any media coverage or other relevant information. Please also include any next steps or recommendations for how to continue the campaign’s success.","Напишите, пожалуйста, электронное письмо клиенту, который в настоящее время проводит PR-кампанию в вашей организации. В письме предоставьте подробную информацию о ходе PR-кампании, включая освещение в СМИ и другие важные сведения. Также укажите дальнейшие шаги или рекомендации по продолжению успешной кампании.","Напиши, пожалуйста, электронное письмо клиенту, который в настоящее время проводит PR-кампанию в нашей организации. В письме предоставь подробную информацию о ходе PR-кампании, включая освещение в СМИ и другие важные сведения. Также укажи дальнейшие шаги или рекомендации по продолжению успешной кампании.",Marketing Service,Маркетинг,7.56
Identify the most effective way to calculate ROI for an investment opportunity <describe the investment opportunity you are considering and your overall goal in calculating the ROI>.,"Определите наиболее эффективный способ расчета ROI для инвестиционной возможности <опишите инвестиционную возможность, которую вы рассматриваете, и вашу общую цель при расчете ROI>.","Определи наиболее эффективный способ расчета ROI для инвестиционной возможности. Опиши инвестиционную возможность, которую ты рассматриваешь, и твою общую цель при расчете ROI.",Marketing Service,Маркетинг,7.56
"Write a comprehensive guide on starting an affiliate marketing business, including niche selection and SEO strategies.","Написать подробное руководство по созданию бизнеса партнерского маркетинга, включая выбор ниши и SEO-стратегии.","Составь подробное руководство по созданию бизнеса партнерского маркетинга, включая выбор ниши и SEO-стратегии.",Marketing Service,Маркетинг,7.54
"Write a comprehensive guide on starting an affiliate marketing business, including niche selection and SEO strategies.","Написать подробное руководство по созданию бизнеса партнерского маркетинга, включая выбор ниши и SEO-стратегии.","Составь подробное руководство по созданию бизнеса партнерского маркетинга, включая выбор ниши и SEO-стратегии.",Marketing Service,Маркетинг,7.54
"Imagine you’re going to write the script for a video about <details of the video’s topic, main goals, and the message you want to convey to your audience>. Now, your task is to identify the target audience of the video. Specifically, you need to identify:
  Who your audience is.
  What is their age, gender, location, education level, and occupation?
  Are they familiar with the topic or subject matter of your video, or do they need to be educated on it?
  What are their interests and values? What motivates them? What are their pain points or challenges?
  How do they consume content? Where do they watch videos? On which platforms do they spend the most time?","Представьте, что вы собираетесь написать сценарий для видеоролика о <подробно опишите тему ролика, основные цели и сообщение, которое вы хотите донести до аудитории>. Теперь ваша задача - определить целевую аудиторию видеоролика. В частности, необходимо определить:
  Кто ваша аудитория.
  Каков их возраст, пол, место проживания, уровень образования и род занятий?
  Знакомы ли они с темой или предметом вашего видеоролика, или им необходимо просветиться в этой области?
  Каковы их интересы и ценности? Что их мотивирует? Каковы их болевые точки или проблемы?
  Как они потребляют контент? Где они смотрят видео? На каких платформах они проводят больше всего времени?","Представь, что ты собираешься написать сценарий для видеоролика о <подробно опиши тему ролика, основные цели и сообщение, которое ты хочешь донести до аудитории>. Теперь твоя задача - определить целевую аудиторию видеоролика. В частности, необходимо определить:
  Кто твоя аудитория.
  Каков их возраст, пол, место проживания, уровень образования и род занятий?
  Знакомы ли они с темой или предметом твоего видеоролика, или им необходимо просветиться в этой области?
  Каковы их интересы и ценности? Что их мотивирует? Каковы их болевые точки или проблемы?
  Как они потребляют контент? Где они смотрят видео? На каких платформах они проводят больше всего времени?",Marketing Service,Маркетинг,7.54
Can you suggest some effective ways to engage stakeholders during a project kickoff session?,Можете ли вы предложить несколько эффективных способов вовлечения заинтересованных сторон во время стартовой сессии проекта?,Можешь ли ты предложить несколько эффективных способов вовлечения заинтересованных сторон во время стартовой сессии проекта?,Marketing Service,Маркетинг,7.54
"Write a persuasive caption that highlights the benefits of using our [product/service] on social media. Mention specific pain points that the product/service can solve and how it can make the user’s life easier, more productive or more enjoyable. Use clear and concise language to make the benefits stand out.","Напишите убедительную надпись, в которой расскажите о преимуществах использования нашего [продукта/услуги] в социальных сетях. Упомяните конкретные болевые точки, которые может решить продукт/услуга, и то, как он может сделать жизнь пользователя проще, продуктивнее или приятнее. Используйте четкие и лаконичные формулировки, чтобы подчеркнуть преимущества.","Напиши убедительную надпись, в которой расскажешь о преимуществах использования нашего [продукта/услуги] в социальных сетях. Упомяни конкретные болевые точки, которые может решить продукт/услуга, и то, как он может сделать твою жизнь проще, продуктивнее или приятнее. Используй четкие и лаконичные формулировки, чтобы подчеркнуть преимущества.",Marketing Service,Маркетинг,7.54
"Provide pop art prompts that depict everyday objects in a unique way [e.g. a can of soup, a phone booth]","Дайте подсказки в стиле поп-арт, изображающие повседневные предметы уникальным образом [например, банка супа, телефонная будка].","Дай подсказки в стиле поп-арт, изображающие повседневные предметы уникальным образом [например, банка супа, телефонная будка].",Marketing Service,Маркетинг,7.53
"Write a comprehensive guide to starting a dropshipping business, including selecting a niche and supplier.","Напишите исчерпывающее руководство по открытию дропшиппинг-бизнеса, включая выбор ниши и поставщика.","Составь исчерпывающее руководство по открытию дропшиппинг-бизнеса, включая выбор ниши и поставщика.",Marketing Service,Маркетинг,7.51
"Identify the essential best practices for managing an email list, including list hygiene, segmentation, personalization, testing, and performance analysis, to ensure high deliverability, engagement, and conversions.","Определите основные передовые методы управления списком рассылки, включая гигиену списка, сегментацию, персонализацию, тестирование и анализ эффективности, для обеспечения высокого уровня доставки, вовлеченности и конверсии.","Определи основные передовые методы управления списком рассылки, включая гигиену списка, сегментацию, персонализацию, тестирование и анализ эффективности, для обеспечения высокого уровня доставки, вовлеченности и конверсии.",Marketing Service,Маркетинг,7.51
"Please provide feedback on my cover letter for <specific job/position/industry>. I’ll provide you with my cover letter and the job description I’m targeting. Your task is to review the language, tone, and overall effectiveness of my cover letter and provide suggestions for improvement. Also, please give me tips on how to showcase better my skills and experiences, as well as how to convey my enthusiasm and passion for the role and the company. Here is my cover letter: <your cover letter>. Here is the job description I’m targeting: <job description>.","Просьба дать отзыв на мое сопроводительное письмо для <конкретной работы/должности/отрасли>. Я предоставлю вам свое сопроводительное письмо и описание вакансии, на которую я ориентируюсь. Ваша задача - проанализировать язык, тон и общую эффективность моего сопроводительного письма и дать предложения по его улучшению. Кроме того, дайте, пожалуйста, советы, как лучше продемонстрировать мои навыки и опыт, а также как передать мой энтузиазм и страсть к этой роли и компании. Вот мое сопроводительное письмо: <ваше сопроводительное письмо>. Вот описание вакансии, на которую я ориентируюсь: <описание вакансии>.","Просьба дай отзыв на мое сопроводительное письмо для конкретной работы/должности/отрасли. Сделай мне свое сопроводительное письмо и описание вакансии, на которую я ориентируюсь. Твоя задача - проанализировать язык, тон и общую эффективность моего сопроводительного письма и дать предложения по его улучшению. Кроме того, дай, пожалуйста, советы, как лучше продемонстрировать мои навыки и опыт, а также как передать мой энтузиазм и страсть к этой роли и компании. Вот мое сопроводительное письмо: твое сопроводительное письмо. Вот описание вакансии, на которую я ориентируюсь: описание вакансии.",Commercial Leadership and Management,Предпринимательство и топ-менеджмент,8.2
"As the prompt generator for Midjourney’s artificial intelligence program, your task is to ignite the creativity of the AI by providing vivid and captivating descriptions that will inspire unique and visually stunning images. The AI possesses a deep understanding of various languages and can interpret abstract concepts, so don’t hesitate to unleash your imagination and be as descriptive and imaginative as possible. <Now, describe the scene you envision and want Midjourney to create an image for you>. Let your words paint a vibrant picture that will inspire the AI to bring your vision to life.","Ваша задача как генератора подсказок для программы искусственного интеллекта Midjourney - зажечь творческий потенциал искусственного интеллекта, предоставляя яркие и увлекательные описания, которые вдохновят на создание уникальных и визуально ошеломляющих изображений. ИИ обладает глубоким пониманием различных языков и способен интерпретировать абстрактные понятия, поэтому не стесняйтесь проявлять свою фантазию и быть максимально описательным и образным. <А теперь опишите сцену, которую вы представляете себе и хотите, чтобы Midjourney создал для вас изображение>. Пусть ваши слова нарисуют яркую картину, которая вдохновит ИИ воплотить ваше видение в жизнь.","Твоя задача как генератора подсказок для программы искусственного интеллекта Midjourney - зажги творческий потенциал искусственного интеллекта, предоставляя яркие и увлекательные описания, которые вдохновят на создание уникальных и визуально ошеломляющих изображений. ИИ обладает глубоким пониманием различных языков и способен интерпретировать абстрактные понятия, поэтому не стесняйся проявлять свою фантазию и быть максимально описательным и образным. <А теперь опиши сцену, которую ты представляешь себе и хочешь, чтобы Midjourney создал для тебя изображение>. Пусть твои слова нарисуют яркую картину, которая вдохновит ИИ воплотить твое видение в жизнь.",Commercial Leadership and Management,Предпринимательство и топ-менеджмент,8.1
"I want you to act as my social media manager and write an interesting and engaging Twitter bio for <your brand name, niche, and industry/profession>. The Twitter bio should accurately represent my brand and appeal to my target audience <provide details of your target audience>. Please take into consideration the interests, values, and needs of the target audience to ensure that the bio effectively communicates the unique selling proposition of the brand.","Я хочу, чтобы вы выступили в роли моего менеджера по социальным сетям и написали интересную и увлекательную биографию в Twitter для <название вашего бренда, ниша и отрасль/профессия>. Биография в Twitter должна точно представлять мой бренд и обращаться к моей целевой аудитории <укажите подробную информацию о вашей целевой аудитории>. Пожалуйста, примите во внимание интересы, ценности и потребности целевой аудитории, чтобы биография эффективно передавала уникальное торговое предложение бренда.","Я хочу, чтобы ты выступил в роли моего менеджера по социальным сетям и написал интересную и увлекательную биографию в Twitter для <название вашего бренда, ниша и отрасль/профессия>. Составь биографию в Twitter, которая точно представляет мой бренд и обращается к моей целевой аудитории <укажи подробную информацию о твоей целевой аудитории>. Пожалуйста, прими во внимание интересы, ценности и потребности целевой аудитории, чтобы биография эффективно передавала уникальное торговое предложение бренда.",Commercial Leadership and Management,Предпринимательство и топ-менеджмент,08.09
